"street","city","zip","state","beds","baths","sq__ft","type","sale_date","price","latitude","longitude"
"1693 SHELTER COVE DR","GREENWOOD","95635","CA","3","2","2846","Residential","Wed May 21 00:00:00 EDT 2008","395000","38.945357","-120.908822"
"9361 WADDELL LN","ELK GROVE","95624","CA","4","3","2359","Residential","Wed May 21 00:00:00 EDT 2008","400186","38.450829","-121.349928"
"10 SEA FOAM CT","SACRAMENTO","95831","CA","3","3","2052","Residential","Wed May 21 00:00:00 EDT 2008","415000","38.487885","-121.545947"
"6945 RIO TEJO WAY","ELK GROVE","95757","CA","5","3","3433","Residential","Wed May 21 00:00:00 EDT 2008","425000","38.385638","-121.422616"
"4186 TULIP PARK WAY","RANCHO CORDOVA","95742","CA","5","3","3615","Residential","Wed May 21 00:00:00 EDT 2008","430000","38.550617","-121.23526"
"9278 DAIRY CT","ELK GROVE","95624","CA","0","0","0","Residential","Wed May 21 00:00:00 EDT 2008","445000","38.420338","-121.363757"
"207 ORANGE BLOSSOM CIR Unit C","FOLSOM","95630","CA","5","3","2687","Residential","Wed May 21 00:00:00 EDT 2008","460000","38.646273","-121.175322"
"6507 RIO DE ONAR WAY","ELK GROVE","95757","CA","4","3","2724","Residential","Wed May 21 00:00:00 EDT 2008","461000","38.38253","-121.428007"
"7004 RAWLEY WAY","ELK GROVE","95757","CA","4","3","3440","Residential","Wed May 21 00:00:00 EDT 2008","489332","38.406421","-121.422081"
"6503 RIO DE ONAR WAY","ELK GROVE","95757","CA","5","4","3508","Residential","Wed May 21 00:00:00 EDT 2008","510000","38.38253","-121.428038"
"2217 APPALOOSA CT","FOLSOM","95630","CA","4","2","2462","Residential","Wed May 21 00:00:00 EDT 2008","539000","38.655167","-121.090178"
"868 HILDEBRAND CIR","FOLSOM","95630","CA","0","0","0","Residential","Wed May 21 00:00:00 EDT 2008","585000","38.670947","-121.097727"
"6030 PALERMO WAY","EL DORADO HILLS","95762","CA","4","3","0","Residential","Wed May 21 00:00:00 EDT 2008","600000","38.672761","-121.050378"
"4070 REDONDO DR","EL DORADO HILLS","95762","CA","4","3","0","Residential","Wed May 21 00:00:00 EDT 2008","606238","38.666807","-121.06483"
"4004 CRESTA WAY","SACRAMENTO","95864","CA","3","3","2325","Residential","Wed May 21 00:00:00 EDT 2008","660000","38.591618","-121.370626"
"315 JUMEL CT","EL DORADO HILLS","95762","CA","6","5","0","Residential","Wed May 21 00:00:00 EDT 2008","830000","38.669931","-121.05958"
"6272 LONGFORD DR Unit 1","CITRUS HEIGHTS","95621","CA","2","1","795","Condo","Tue May 20 00:00:00 EDT 2008","69000","38.680923","-121.313945"
"3432 Y ST","SACRAMENTO","95817","CA","4","2","1099","Residential","Tue May 20 00:00:00 EDT 2008","70000","38.554967","-121.468046"
"9512 EMERALD PARK DR Unit 3","ELK GROVE","95624","CA","2","1","840","Condo","Tue May 20 00:00:00 EDT 2008","71000","38.40573","-121.369832"
"3132 CLAY ST","SACRAMENTO","95815","CA","2","1","800","Residential","Tue May 20 00:00:00 EDT 2008","78000","38.624678","-121.439203"
"5221 38TH AVE","SACRAMENTO","95824","CA","2","1","746","Residential","Tue May 20 00:00:00 EDT 2008","78400","38.518044","-121.443555"
"6112 HERMOSA ST","SACRAMENTO","95822","CA","3","1","1067","Residential","Tue May 20 00:00:00 EDT 2008","80000","38.515125","-121.480416"
"483 ARCADE BLVD","SACRAMENTO","95815","CA","4","2","1316","Residential","Tue May 20 00:00:00 EDT 2008","89000","38.623571","-121.454884"
"671 SONOMA AVE","SACRAMENTO","95815","CA","3","1","1337","Residential","Tue May 20 00:00:00 EDT 2008","90000","38.622953","-121.450142"
"5980 79TH ST","SACRAMENTO","95824","CA","2","1","868","Residential","Tue May 20 00:00:00 EDT 2008","90000","38.518373","-121.411779"
"7607 ELDER CREEK RD","SACRAMENTO","95824","CA","3","1","924","Residential","Tue May 20 00:00:00 EDT 2008","92000","38.51055","-121.414768"
"5028 14TH AVE","SACRAMENTO","95820","CA","2","1","610","Residential","Tue May 20 00:00:00 EDT 2008","93675","38.53942","-121.446894"
"14788 NATCHEZ CT","RANCHO MURIETA","95683","CA","0","0","0","Residential","Tue May 20 00:00:00 EDT 2008","97750","38.492287","-121.100032"
"1069 ACACIA AVE","SACRAMENTO","95815","CA","2","1","1220","Residential","Tue May 20 00:00:00 EDT 2008","98000","38.621998","-121.442238"
"5201 LAGUNA OAKS DR Unit 199","ELK GROVE","95758","CA","1","1","722","Condo","Tue May 20 00:00:00 EDT 2008","98000","38.423251","-121.444489"
"3847 LAS PASAS WAY","SACRAMENTO","95864","CA","3","1","1643","Residential","Tue May 20 00:00:00 EDT 2008","99000","38.588672","-121.373916"
"5201 LAGUNA OAKS DR Unit 172","ELK GROVE","95758","CA","1","1","722","Condo","Tue May 20 00:00:00 EDT 2008","100000","38.423251","-121.444489"
"1121 CREEKSIDE WAY","GALT","95632","CA","3","1","1080","Residential","Tue May 20 00:00:00 EDT 2008","106716","38.241514","-121.312199"
"5307 CABRILLO WAY","SACRAMENTO","95820","CA","3","1","1039","Residential","Tue May 20 00:00:00 EDT 2008","111000","38.52712","-121.435348"
"3725 DON JULIO BLVD","NORTH HIGHLANDS","95660","CA","3","1","1051","Residential","Tue May 20 00:00:00 EDT 2008","111000","38.67895","-121.379406"
"4803 MCCLOUD DR","SACRAMENTO","95842","CA","2","2","967","Residential","Tue May 20 00:00:00 EDT 2008","114800","38.682279","-121.352817"
"10542 SILVERWOOD WAY","RANCHO CORDOVA","95670","CA","3","1","1098","Residential","Tue May 20 00:00:00 EDT 2008","120108","38.587156","-121.295778"
"6318 39TH AVE","SACRAMENTO","95824","CA","3","1","1050","Residential","Tue May 20 00:00:00 EDT 2008","123225","38.518942","-121.430158"
"211 MCDANIEL CIR","SACRAMENTO","95838","CA","3","2","1110","Residential","Tue May 20 00:00:00 EDT 2008","123750","38.636565","-121.460383"
"3800 LYNHURST WAY","NORTH HIGHLANDS","95660","CA","3","1","888","Residential","Tue May 20 00:00:00 EDT 2008","125000","38.650445","-121.374861"
"6139 HERMOSA ST","SACRAMENTO","95822","CA","3","2","1120","Residential","Tue May 20 00:00:00 EDT 2008","125000","38.514665","-121.480411"
"2505 RHINE WAY","ELVERTA","95626","CA","3","2","1080","Residential","Tue May 20 00:00:00 EDT 2008","126000","38.717976","-121.407684"
"3692 PAYNE WAY","NORTH HIGHLANDS","95660","CA","3","1","957","Residential","Tue May 20 00:00:00 EDT 2008","129000","38.66654","-121.378298"
"604 MORRISON AVE","SACRAMENTO","95838","CA","2","1","952","Residential","Tue May 20 00:00:00 EDT 2008","134000","38.637678","-121.452476"
"648 SANTA ANA AVE","SACRAMENTO","95838","CA","3","2","1211","Residential","Tue May 20 00:00:00 EDT 2008","135000","38.658478","-121.450409"
"14 ASHLEY OAKS CT","SACRAMENTO","95815","CA","3","2","1264","Residential","Tue May 20 00:00:00 EDT 2008","135500","38.61779","-121.436765"
"3174 NORTHVIEW DR","SACRAMENTO","95833","CA","3","1","1080","Residential","Tue May 20 00:00:00 EDT 2008","140000","38.623817","-121.477827"
"840 TRANQUIL LN","GALT","95632","CA","3","2","1266","Residential","Tue May 20 00:00:00 EDT 2008","140000","38.270617","-121.299205"
"5333 PRIMROSE DR Unit 19A","FAIR OAKS","95628","CA","2","2","994","Condo","Tue May 20 00:00:00 EDT 2008","142500","38.662785","-121.276272"
"1035 MILLET WAY","SACRAMENTO","95834","CA","3","2","1202","Residential","Tue May 20 00:00:00 EDT 2008","143500","38.631056","-121.48508"
"5201 LAGUNA OAKS DR Unit 126","ELK GROVE","95758","CA","0","0","0","Condo","Tue May 20 00:00:00 EDT 2008","145000","38.423251","-121.444489"
"3328 22ND AVE","SACRAMENTO","95820","CA","2","1","722","Residential","Tue May 20 00:00:00 EDT 2008","145000","38.532727","-121.470783"
"8001 HARTWICK WAY","SACRAMENTO","95828","CA","4","2","1448","Residential","Tue May 20 00:00:00 EDT 2008","145000","38.488623","-121.410582"
"7812 HARTWICK WAY","SACRAMENTO","95828","CA","3","2","1188","Residential","Tue May 20 00:00:00 EDT 2008","145000","38.488611","-121.412808"
"4207 PAINTER WAY","NORTH HIGHLANDS","95660","CA","4","2","1183","Residential","Tue May 20 00:00:00 EDT 2008","146000","38.692915","-121.367497"
"7458 WINKLEY WAY","SACRAMENTO","95822","CA","3","1","1320","Residential","Tue May 20 00:00:00 EDT 2008","148500","38.487444","-121.491366"
"8354 SUNRISE WOODS WAY","SACRAMENTO","95828","CA","3","2","1117","Residential","Tue May 20 00:00:00 EDT 2008","149000","38.473288","-121.3963"
"8116 COTTONMILL CIR","SACRAMENTO","95828","CA","3","2","1364","Residential","Tue May 20 00:00:00 EDT 2008","150000","38.482876","-121.405912"
